,model,fit,predict,file
LinearRegression,LinearRegression,0.0,0.0,./result\result100.txt
Ridge,Ridge,0.0,0.0,./result\result100.txt
Lasso,Lasso,0.015619277954101,0.0,./result\result100.txt
BayesianRidge,BayesianRidge,0.008051395416259,0.0,./result\result100.txt
DecisionTreeRegressor,DecisionTreeRegressor,0.0,0.0,./result\result100.txt
RandomForestRegressor,RandomForestRegressor,0.172456741333007,0.01708960533142,./result\result100.txt
GradientBoostingRegressor,GradientBoostingRegressor,0.06291627883911101,0.0,./result\result100.txt
KNeighborsRegressor,KNeighborsRegressor,0.015679836273193002,0.0,./result\result100.txt
SVR,SVR,0.0,0.0,./result\result100.txt
LGBMRegressor,LGBMRegressor,0.046863794326782005,0.0,./result\result100.txt
XGBRegressor,XGBRegressor,0.30545759201049805,0.0,./result\result100.txt
CatBoostRegressor,CatBoostRegressor,1.423556327819824,0.0,./result\result100.txt
KMeans,KMeans,0.14104557037353502,0.0,./result\result100.txt
GaussianMixture,GaussianMixture,0.094100952148437,0.0,./result\result100.txt
DBSCAN,DBSCAN,0.0,,./result\result100.txt
PCA,PCA,0.0,,./result\result100.txt
NMF,NMF,0.01567268371582,,./result\result100.txt
NearestNeighbors,NearestNeighbors,0.0,,./result\result100.txt
TSNE,TSNE,0.7210872173309321,,./result\result100.txt
GaussianProcessRegressor,GaussianProcessRegressor,0.046876430511474006,0.015624046325683,./result\result100.txt
LinearRegression,LinearRegression,0.015577077865600001,0.0,./result\result1000.txt
Ridge,Ridge,0.0,0.0,./result\result1000.txt
Lasso,Lasso,0.0,0.01563811302185,./result\result1000.txt
BayesianRidge,BayesianRidge,0.0025105476379390004,0.0,./result\result1000.txt
DecisionTreeRegressor,DecisionTreeRegressor,0.015583276748657001,0.0,./result\result1000.txt
RandomForestRegressor,RandomForestRegressor,0.828767776489257,0.026745080947875,./result\result1000.txt
GradientBoostingRegressor,GradientBoostingRegressor,0.260401010513305,0.0,./result\result1000.txt
KNeighborsRegressor,KNeighborsRegressor,0.0,0.0,./result\result1000.txt
SVR,SVR,0.052946805953979006,0.11758089065551701,./result\result1000.txt
LGBMRegressor,LGBMRegressor,0.062501668930053,0.0,./result\result1000.txt
XGBRegressor,XGBRegressor,0.125398159027099,0.0,./result\result1000.txt
CatBoostRegressor,CatBoostRegressor,2.439835548400879,0.0,./result\result1000.txt
KMeans,KMeans,0.154608011245727,0.0,./result\result1000.txt
GaussianMixture,GaussianMixture,0.094253063201904,0.0,./result\result1000.txt
DBSCAN,DBSCAN,0.015549898147583001,,./result\result1000.txt
PCA,PCA,0.0,,./result\result1000.txt
NMF,NMF,0.0183687210083,,./result\result1000.txt
NearestNeighbors,NearestNeighbors,0.0,,./result\result1000.txt
TSNE,TSNE,4.357741355895996,,./result\result1000.txt
GaussianProcessRegressor,GaussianProcessRegressor,3.9419655799865723,0.031317234039306,./result\result1000.txt
LinearRegression,LinearRegression,0.016525268554687,0.0,./result\result10000.txt
Ridge,Ridge,0.0,0.0,./result\result10000.txt
Lasso,Lasso,0.094276666641235,0.0,./result\result10000.txt
BayesianRidge,BayesianRidge,0.015603780746459002,0.0,./result\result10000.txt
DecisionTreeRegressor,DecisionTreeRegressor,0.06255626678466701,0.015581130981445002,./result\result10000.txt
RandomForestRegressor,RandomForestRegressor,5.897525310516357,0.153172492980957,./result\result10000.txt
GradientBoostingRegressor,GradientBoostingRegressor,1.593412160873413,0.015621900558471001,./result\result10000.txt
KNeighborsRegressor,KNeighborsRegressor,0.019195318222045,0.12553763389587402,./result\result10000.txt
SVR,SVR,7.71463418006897,14.799109935760498,./result\result10000.txt
LGBMRegressor,LGBMRegressor,0.11734747886657701,0.015627861022949,./result\result10000.txt
XGBRegressor,XGBRegressor,0.43064665794372503,0.015621662139892,./result\result10000.txt
CatBoostRegressor,CatBoostRegressor,5.187632083892822,0.015621423721313001,./result\result10000.txt
KMeans,KMeans,0.21172499656677202,0.0,./result\result10000.txt
GaussianMixture,GaussianMixture,0.141577005386352,0.0,./result\result10000.txt
DBSCAN,DBSCAN,0.319414377212524,,./result\result10000.txt
PCA,PCA,0.015579938888549002,,./result\result10000.txt
NMF,NMF,0.047360420227050004,,./result\result10000.txt
NearestNeighbors,NearestNeighbors,0.031276941299438005,,./result\result10000.txt
TSNE,TSNE,85.64636015892029,,./result\result10000.txt
LinearRegression,LinearRegression,0.069047689437866,0.009511232376098001,./result\result100000.txt
Ridge,Ridge,0.015641927719116003,0.015609025955200001,./result\result100000.txt
Lasso,Lasso,5.132460355758667,0.0035138130187980002,./result\result100000.txt
BayesianRidge,BayesianRidge,0.062931060791015,0.015631675720214,./result\result100000.txt
DecisionTreeRegressor,DecisionTreeRegressor,0.39260864257812506,0.015584230422973001,./result\result100000.txt
RandomForestRegressor,RandomForestRegressor,25.72383952140808,0.581404209136962,./result\result100000.txt
GradientBoostingRegressor,GradientBoostingRegressor,18.476571321487427,0.12560844421386702,./result\result100000.txt
KNeighborsRegressor,KNeighborsRegressor,0.29796814918518,4.352651596069336,./result\result100000.txt
